vout	abs(1/d(I(Vout)))
6.450000000000005e-001	4.858389e+003
6.460000000000005e-001	4.858560e+003
6.470000000000005e-001	4.858732e+003
6.480000000000005e-001	4.859076e+003
6.490000000000005e-001	4.859247e+003
6.500000000000005e-001	4.859419e+003
6.510000000000005e-001	4.859763e+003
6.520000000000005e-001	4.860107e+003
6.530000000000005e-001	4.860278e+003
6.540000000000005e-001	4.860450e+003
6.550000000000005e-001	4.860622e+003
6.560000000000005e-001	4.860966e+003
6.570000000000005e-001	4.861310e+003
6.580000000000005e-001	4.861310e+003
6.590000000000005e-001	4.861482e+003
6.600000000000005e-001	4.861826e+003
6.610000000000005e-001	4.862170e+003
6.620000000000005e-001	4.862342e+003
6.630000000000005e-001	4.862514e+003
6.640000000000005e-001	4.862858e+003
6.650000000000005e-001	4.863030e+003
6.660000000000005e-001	4.863202e+003
6.670000000000005e-001	4.863546e+003
6.680000000000005e-001	4.863718e+003
6.690000000000005e-001	4.863718e+003
6.700000000000005e-001	4.864063e+003
6.710000000000005e-001	4.864407e+003
6.720000000000005e-001	4.864579e+003
6.730000000000005e-001	4.864751e+003
6.740000000000005e-001	4.864923e+003
6.750000000000005e-001	4.865096e+003
6.760000000000005e-001	4.865440e+003
6.770000000000005e-001	4.865612e+003
6.780000000000005e-001	4.865785e+003
6.790000000000005e-001	4.866129e+003
6.800000000000005e-001	4.866129e+003
6.810000000000005e-001	4.866302e+003
6.820000000000005e-001	4.866646e+003
6.830000000000005e-001	4.866818e+003
6.840000000000005e-001	4.866991e+003
6.850000000000005e-001	4.867336e+003
6.860000000000005e-001	4.867508e+003
6.870000000000005e-001	4.867508e+003
6.880000000000005e-001	4.867853e+003
6.890000000000005e-001	4.868025e+003
6.900000000000005e-001	4.868198e+003
6.910000000000005e-001	4.868542e+003
6.920000000000005e-001	4.868542e+003
6.930000000000005e-001	4.868715e+003
6.940000000000005e-001	4.869060e+003
6.950000000000005e-001	4.869232e+003
6.960000000000005e-001	4.869405e+003
6.970000000000005e-001	4.869577e+003
6.980000000000005e-001	4.869750e+003
6.990000000000005e-001	4.869923e+003
7.000000000000005e-001	4.870095e+003
7.010000000000005e-001	4.870268e+003
7.020000000000005e-001	4.870440e+003
7.030000000000005e-001	4.870785e+003
7.040000000000005e-001	4.870958e+003
7.050000000000005e-001	4.870958e+003
7.060000000000005e-001	4.871131e+003
7.070000000000005e-001	4.871476e+003
7.080000000000005e-001	4.871649e+003
7.090000000000005e-001	4.871649e+003
7.100000000000005e-001	4.871821e+003
7.110000000000005e-001	4.872167e+003
7.120000000000005e-001	4.872340e+003
7.130000000000005e-001	4.872512e+003
7.140000000000005e-001	4.872685e+003
7.150000000000005e-001	4.872685e+003
7.160000000000005e-001	4.873031e+003
7.170000000000005e-001	4.873203e+003
7.180000000000005e-001	4.873203e+003
7.190000000000005e-001	4.873549e+003
7.200000000000005e-001	4.873722e+003
7.210000000000005e-001	4.873895e+003
7.220000000000005e-001	4.874067e+003
7.230000000000005e-001	4.874067e+003
7.240000000000005e-001	4.874240e+003
7.250000000000005e-001	4.874586e+003
7.260000000000005e-001	4.874759e+003
